"qué que ne siá"-adverb-oc "quoi qu'il en soit"-adverb-fr
"administrat"-adjective-oc "administré"-adjective-fr
"administré"-adjective-fr "administrat"-adjective-oc
"milanés"-noun-oc "Milanais"-noun-fr
"Milanais"-noun-fr "milanés"-noun-oc
"d'ailà"-adverb-oc "de là"-adverb-fr
"de là"-adverb-fr "d'ailà"-adverb-oc
"per òrdre alfabetic"-adverb-oc "par ordre alphabétique"-adverb-fr
"par ordre alphabétique"-adverb-fr "per òrdre alfabetic"-adverb-oc
"popular"-noun-oc "populaire"-noun-fr
"populaire"-noun-fr "popular"-noun-oc
"just"-noun-oc "juste"-noun-fr
"juste"-noun-fr "just"-noun-oc
"rapid"-noun-oc "rapide"-noun-fr
"rapide"-noun-fr "rapid"-noun-oc
"similar"-noun-oc "similaire"-noun-fr
"similaire"-noun-fr "similar"-noun-oc
"modèst"-noun-oc "modeste"-noun-fr
"modeste"-noun-fr "modèst"-noun-oc
"modeste"-noun-fr "modèste"-noun-oc
"modèste"-noun-oc "modeste"-noun-fr
"reaprovesiment"-noun-oc "reapprovisionnement"-noun-fr
"reapprovisionnement"-noun-fr "reaprovesiment"-noun-oc
"reapprovisionnement"-noun-fr "reaprovisionament"-noun-oc
"reaprovisionament"-noun-oc "reapprovisionnement"-noun-fr
"litoral"-noun-oc "litoral"-noun-fr
"litoral"-noun-fr "litoral"-noun-oc
"umanitari"-noun-oc "humanitaire"-noun-fr
"humanitaire"-noun-fr "umanitari"-noun-oc
"numerizacion"-noun-oc "digitalisation"-noun-fr
"digitalisation"-noun-fr "numerizacion"-noun-oc
"espitalièr"-noun-oc "hospitalier"-noun-fr
"hospitalier"-noun-fr "espitalièr"-noun-oc
"intermitent"-noun-oc "intermittent"-noun-fr
"intermittent"-noun-fr "intermitent"-noun-oc
"descargament"-noun-oc "débardage"-noun-fr
"débardage"-noun-fr "descargament"-noun-oc
"agroalimentari"-noun-oc "agroalimentaire"-noun-fr
"agroalimentaire"-noun-fr "agroalimentari"-noun-oc
"orogenèsi"-noun-oc "orogenèse"-noun-fr
"orogenèse"-noun-fr "orogenèsi"-noun-oc
"oira"-noun-oc "outre"-noun-fr
"outre"-noun-fr "oira"-noun-oc
"indochinés"-noun-oc "indochinois"-noun-fr
"indochinois"-noun-fr "indochinés"-noun-oc
"analòg"-noun-oc "analogue"-noun-fr
"analogue"-noun-fr "analòg"-noun-oc
"analogue"-noun-fr "analògue"-noun-oc
"analògue"-noun-oc "analogue"-noun-fr
"pur"-noun-oc "pur"-noun-fr
"pur"-noun-fr "pur"-noun-oc
"psiquisme"-noun-oc "psychisme"-noun-fr
"psychisme"-noun-fr "psiquisme"-noun-oc
"passiu"-noun-oc "passif"-noun-fr
"passif"-noun-fr "passiu"-noun-oc
"dirigible"-noun-oc "dirigeable"-noun-fr
"dirigeable"-noun-fr "dirigible"-noun-oc
"ambiciós"-noun-oc "ambitieux"-noun-fr
"ambitieux"-noun-fr "ambiciós"-noun-oc
"desonèst"-noun-oc "malhonnête"-noun-fr
"malhonnête"-noun-fr "desonèst"-noun-oc
"biofilm"-noun-oc "biofilm"-noun-fr
"biofilm"-noun-fr "biofilm"-noun-oc
"biofilm"-noun-fr "biofilme"-noun-oc
"biofilme"-noun-oc "biofilm"-noun-fr
"protestatari"-noun-oc "protestataire"-noun-fr
"protestataire"-noun-fr "protestatari"-noun-oc
"soscap"-noun-oc "sous-chef"-noun-fr
"sous-chef"-noun-fr "soscap"-noun-oc
"migala"-noun-oc "mygale"-noun-fr
"mygale"-noun-fr "migala"-noun-oc
"animat"-noun-oc "animé"-noun-fr
"animé"-noun-fr "animat"-noun-oc
"acidòsi"-noun-oc "acidose"-noun-fr
"acidose"-noun-fr "acidòsi"-noun-oc
"dialoguista"-noun-oc "dialoguiste"-noun-fr
"dialoguiste"-noun-fr "dialoguista"-noun-oc
"inactiu"-noun-oc "inactif"-noun-fr
"inactif"-noun-fr "inactiu"-noun-oc
"macron"-noun-oc "macron"-noun-fr
"macron"-noun-fr "macron"-noun-oc
"connectica"-noun-oc "connectique"-noun-fr
"connectique"-noun-fr "connectica"-noun-oc
"permacultura"-noun-oc "permaculture"-noun-fr
"permaculture"-noun-fr "permacultura"-noun-oc
"mondanitat"-noun-oc "mondanité"-noun-fr
"mondanité"-noun-fr "mondanitat"-noun-oc
"isolacionista"-noun-oc "isolationniste"-noun-fr
"isolationniste"-noun-fr "isolacionista"-noun-oc
"regular"-noun-oc "régulier"-noun-fr
"régulier"-noun-fr "regular"-noun-oc
"racional"-noun-oc "rationnel"-noun-fr
"rationnel"-noun-fr "racional"-noun-oc
"provisòri"-noun-oc "provisoire"-noun-fr
"provisoire"-noun-fr "provisòri"-noun-oc
"farmacocinetica"-noun-oc "pharmacocinétique"-noun-fr
"pharmacocinétique"-noun-fr "farmacocinetica"-noun-oc
"radiomètre"-noun-oc "radiomètre"-noun-fr
"radiomètre"-noun-fr "radiomètre"-noun-oc
"idroptèr"-noun-oc "hydroptère"-noun-fr
"hydroptère"-noun-fr "idroptèr"-noun-oc
"daurada"-noun-oc "dorade"-noun-fr
"dorade"-noun-fr "daurada"-noun-oc
"bisfenòl"-noun-oc "bisphénol"-noun-fr
"bisphénol"-noun-fr "bisfenòl"-noun-oc
"ipervisor"-noun-oc "hyperviseur"-noun-fr
"hyperviseur"-noun-fr "ipervisor"-noun-oc
"pentoxid"-noun-oc "pentoxyde"-noun-fr
"pentoxyde"-noun-fr "pentoxid"-noun-oc
"carbonizacion"-noun-oc "carbonisation"-noun-fr
"carbonisation"-noun-fr "carbonizacion"-noun-oc
"mondan"-noun-oc "mondain"-noun-fr
"mondain"-noun-fr "mondan"-noun-oc
"memetica"-noun-oc "mémétique"-noun-fr
"mémétique"-noun-fr "memetica"-noun-oc
"paleobotanista"-noun-oc "paléobotaniste"-noun-fr
"paléobotaniste"-noun-fr "paleobotanista"-noun-oc
"isomorfia"-noun-oc "isomorphie"-noun-fr
"isomorphie"-noun-fr "isomorfia"-noun-oc
"irreveréncia"-noun-oc "irrévérence"-noun-fr
"irrévérence"-noun-fr "irreveréncia"-noun-oc
"iraquian"-noun-oc "Iraquien"-noun-fr
"Iraquien"-noun-fr "iraquian"-noun-oc
"Angiò"-properNoun-oc "Angiò"-properNoun-fr
"Angiò"-properNoun-oc "Angiò"-noun-fr
"Angiò"-properNoun-fr "Angiò"-properNoun-oc
"Angiò"-properNoun-fr "Angiò"-noun-oc
"Angiò"-noun-fr "Angiò"-properNoun-oc
"Angiò"-noun-fr "Angiò"-noun-oc
"Angiò"-noun-oc "Angiò"-properNoun-fr
"Angiò"-noun-oc "Angiò"-noun-fr
"BAU"-properNoun-oc "BAU"-properNoun-fr
"BAU"-properNoun-oc "BAU"-noun-fr
"BAU"-properNoun-fr "BAU"-properNoun-oc
"BAU"-properNoun-fr "BAU"-noun-oc
"BAU"-noun-fr "BAU"-properNoun-oc
"BAU"-noun-fr "BAU"-noun-oc
"BAU"-noun-oc "BAU"-properNoun-fr
"BAU"-noun-oc "BAU"-noun-fr
"Da Silva"-properNoun-oc "Da Silva"-properNoun-fr
"Da Silva"-properNoun-oc "Da Silva"-noun-fr
"Da Silva"-properNoun-fr "Da Silva"-properNoun-oc
"Da Silva"-properNoun-fr "Da Silva"-noun-oc
"Da Silva"-noun-fr "Da Silva"-properNoun-oc
"Da Silva"-noun-fr "Da Silva"-noun-oc
"Da Silva"-noun-oc "Da Silva"-properNoun-fr
"Da Silva"-noun-oc "Da Silva"-noun-fr
"Harley-Davidson"-properNoun-oc "Harley-Davidson"-properNoun-fr
"Harley-Davidson"-properNoun-fr "Harley-Davidson"-properNoun-oc
"De Magalhães"-properNoun-oc "De Magalhães"-properNoun-fr
"De Magalhães"-properNoun-oc "De Magalhães"-noun-fr
"De Magalhães"-properNoun-fr "De Magalhães"-properNoun-oc
"De Magalhães"-properNoun-fr "De Magalhães"-noun-oc
"De Magalhães"-noun-fr "De Magalhães"-properNoun-oc
"De Magalhães"-noun-fr "De Magalhães"-noun-oc
"De Magalhães"-noun-oc "De Magalhães"-properNoun-fr
"De Magalhães"-noun-oc "De Magalhães"-noun-fr
"Dicaprio"-properNoun-oc "Dicaprio"-properNoun-fr
"Dicaprio"-properNoun-oc "Dicaprio"-noun-fr
"Dicaprio"-properNoun-fr "Dicaprio"-properNoun-oc
"Dicaprio"-properNoun-fr "Dicaprio"-noun-oc
"Dicaprio"-noun-fr "Dicaprio"-properNoun-oc
"Dicaprio"-noun-fr "Dicaprio"-noun-oc
"Dicaprio"-noun-oc "Dicaprio"-properNoun-fr
"Dicaprio"-noun-oc "Dicaprio"-noun-fr
"ElBaradei"-properNoun-oc "ElBaradei"-noun-fr
"ElBaradei"-noun-fr "ElBaradei"-properNoun-oc
"ElBaradei"-noun-fr "ElBaradei"-noun-oc
"ElBaradei"-noun-oc "ElBaradei"-noun-fr
"Habsburg"-properNoun-oc "Habsburg"-properNoun-fr
"Habsburg"-properNoun-oc "Habsburg"-noun-fr
"Habsburg"-properNoun-fr "Habsburg"-properNoun-oc
"Habsburg"-properNoun-fr "Habsburg"-noun-oc
"Habsburg"-noun-fr "Habsburg"-properNoun-oc
"Habsburg"-noun-fr "Habsburg"-noun-oc
"Habsburg"-noun-oc "Habsburg"-properNoun-fr
"Habsburg"-noun-oc "Habsburg"-noun-fr
"Karzai"-properNoun-oc "Karzai"-properNoun-fr
"Karzai"-properNoun-oc "Karzai"-noun-fr
"Karzai"-properNoun-fr "Karzai"-properNoun-oc
"Karzai"-properNoun-fr "Karzai"-noun-oc
"Karzai"-noun-fr "Karzai"-properNoun-oc
"Karzai"-noun-fr "Karzai"-noun-oc
"Karzai"-noun-oc "Karzai"-properNoun-fr
"Karzai"-noun-oc "Karzai"-noun-fr
"Maquiavel"-properNoun-oc "Maquiavel"-properNoun-fr
"Maquiavel"-properNoun-oc "Maquiavel"-noun-fr
"Maquiavel"-properNoun-fr "Maquiavel"-properNoun-oc
"Maquiavel"-properNoun-fr "Maquiavel"-noun-oc
"Maquiavel"-noun-fr "Maquiavel"-properNoun-oc
"Maquiavel"-noun-fr "Maquiavel"-noun-oc
"Maquiavel"-noun-oc "Maquiavel"-properNoun-fr
"Maquiavel"-noun-oc "Maquiavel"-noun-fr
"Mcarthur"-properNoun-oc "Mcarthur"-properNoun-fr
"Mcarthur"-properNoun-oc "Mcarthur"-noun-fr
"Mcarthur"-properNoun-fr "Mcarthur"-properNoun-oc
"Mcarthur"-properNoun-fr "Mcarthur"-noun-oc
"Mcarthur"-noun-fr "Mcarthur"-properNoun-oc
"Mcarthur"-noun-fr "Mcarthur"-noun-oc
"Mcarthur"-noun-oc "Mcarthur"-properNoun-fr
"Mcarthur"-noun-oc "Mcarthur"-noun-fr
"Mcintyre"-properNoun-oc "Mcintyre"-properNoun-fr
"Mcintyre"-properNoun-oc "Mcintyre"-noun-fr
"Mcintyre"-properNoun-fr "Mcintyre"-properNoun-oc
"Mcintyre"-properNoun-fr "Mcintyre"-noun-oc
"Mcintyre"-noun-fr "Mcintyre"-properNoun-oc
"Mcintyre"-noun-fr "Mcintyre"-noun-oc
"Mcintyre"-noun-oc "Mcintyre"-properNoun-fr
"Mcintyre"-noun-oc "Mcintyre"-noun-fr
"Mckay"-properNoun-oc "Mckay"-properNoun-fr
"Mckay"-properNoun-oc "Mckay"-noun-fr
"Mckay"-properNoun-fr "Mckay"-properNoun-oc
"Mckay"-properNoun-fr "Mckay"-noun-oc
"Mckay"-noun-fr "Mckay"-properNoun-oc
"Mckay"-noun-fr "Mckay"-noun-oc
"Mckay"-noun-oc "Mckay"-properNoun-fr
"Mckay"-noun-oc "Mckay"-noun-fr
"Papandreu"-properNoun-oc "Papandreu"-properNoun-fr
"Papandreu"-properNoun-oc "Papandreu"-noun-fr
"Papandreu"-properNoun-fr "Papandreu"-properNoun-oc
"Papandreu"-properNoun-fr "Papandreu"-noun-oc
"Papandreu"-noun-fr "Papandreu"-properNoun-oc
"Papandreu"-noun-fr "Papandreu"-noun-oc
"Papandreu"-noun-oc "Papandreu"-properNoun-fr
"Papandreu"-noun-oc "Papandreu"-noun-fr
"RIC"-properNoun-oc "RIC"-properNoun-fr
"RIC"-properNoun-oc "RIC"-noun-fr
"RIC"-properNoun-fr "RIC"-properNoun-oc
"RIC"-properNoun-fr "RIC"-noun-oc
"RIC"-noun-fr "RIC"-properNoun-oc
"RIC"-noun-fr "RIC"-noun-oc
"RIC"-noun-oc "RIC"-properNoun-fr
"RIC"-noun-oc "RIC"-noun-fr
"ROSAL"-properNoun-oc "ROSAL"-properNoun-fr
"ROSAL"-properNoun-oc "ROSAL"-noun-fr
"ROSAL"-properNoun-fr "ROSAL"-properNoun-oc
"ROSAL"-properNoun-fr "ROSAL"-noun-oc
"ROSAL"-noun-fr "ROSAL"-properNoun-oc
"ROSAL"-noun-fr "ROSAL"-noun-oc
"ROSAL"-noun-oc "ROSAL"-properNoun-fr
"ROSAL"-noun-oc "ROSAL"-noun-fr
"Tolstoi"-properNoun-oc "Tolstoi"-properNoun-fr
"Tolstoi"-properNoun-oc "Tolstoi"-noun-fr
"Tolstoi"-properNoun-oc "Tolstoj"-properNoun-fr
"Tolstoi"-properNoun-oc "Tolstoj"-noun-fr
"Tolstoi"-properNoun-fr "Tolstoi"-properNoun-oc
"Tolstoi"-properNoun-fr "Tolstoi"-noun-oc
"Tolstoi"-noun-fr "Tolstoi"-properNoun-oc
"Tolstoi"-noun-fr "Tolstoi"-noun-oc
"Tolstoj"-properNoun-fr "Tolstoi"-properNoun-oc
"Tolstoj"-properNoun-fr "Tolstoi"-noun-oc
"Tolstoj"-noun-fr "Tolstoi"-properNoun-oc
"Tolstoj"-noun-fr "Tolstoi"-noun-oc
"Tolstoi"-noun-oc "Tolstoi"-properNoun-fr
"Tolstoi"-noun-oc "Tolstoi"-noun-fr
"Tolstoi"-noun-oc "Tolstoj"-properNoun-fr
"Tolstoi"-noun-oc "Tolstoj"-noun-fr
"Trajà"-properNoun-oc "Trajà"-properNoun-fr
"Trajà"-properNoun-oc "Trajà"-noun-fr
"Trajà"-properNoun-fr "Trajà"-properNoun-oc
"Trajà"-properNoun-fr "Trajà"-noun-oc
"Trajà"-noun-fr "Trajà"-properNoun-oc
"Trajà"-noun-fr "Trajà"-noun-oc
"Trajà"-noun-oc "Trajà"-properNoun-fr
"Trajà"-noun-oc "Trajà"-noun-fr
"Von Beust"-properNoun-oc "Von Beust"-properNoun-fr
"Von Beust"-properNoun-oc "Von Beust"-noun-fr
"Von Beust"-properNoun-fr "Von Beust"-properNoun-oc
"Von Beust"-properNoun-fr "Von Beust"-noun-oc
"Von Beust"-noun-fr "Von Beust"-properNoun-oc
"Von Beust"-noun-fr "Von Beust"-noun-oc
"Von Beust"-noun-oc "Von Beust"-properNoun-fr
"Von Beust"-noun-oc "Von Beust"-noun-fr
"Xostakóvitx"-properNoun-oc "Xostakóvitx"-properNoun-fr
"Xostakóvitx"-properNoun-oc "Xostakóvitx"-noun-fr
"Xostakóvitx"-properNoun-fr "Xostakóvitx"-properNoun-oc
"Xostakóvitx"-properNoun-fr "Xostakóvitx"-noun-oc
"Xostakóvitx"-noun-fr "Xostakóvitx"-properNoun-oc
"Xostakóvitx"-noun-fr "Xostakóvitx"-noun-oc
"Xostakóvitx"-noun-oc "Xostakóvitx"-properNoun-fr
"Xostakóvitx"-noun-oc "Xostakóvitx"-noun-fr
"al-Àssad"-properNoun-oc "al-Àssad"-properNoun-fr
"al-Àssad"-properNoun-oc "al-Àssad"-noun-fr
"al-Àssad"-properNoun-fr "al-Àssad"-properNoun-oc
"al-Àssad"-properNoun-fr "al-Àssad"-noun-oc
"al-Àssad"-noun-fr "al-Àssad"-properNoun-oc
"al-Àssad"-noun-fr "al-Àssad"-noun-oc
"al-Àssad"-noun-oc "al-Àssad"-properNoun-fr
"al-Àssad"-noun-oc "al-Àssad"-noun-fr
"de Luca"-properNoun-oc "de Luca"-properNoun-fr
"de Luca"-properNoun-oc "de Luca"-noun-fr
"de Luca"-properNoun-fr "de Luca"-properNoun-oc
"de Luca"-properNoun-fr "de Luca"-noun-oc
"de Luca"-noun-fr "de Luca"-properNoun-oc
"de Luca"-noun-fr "de Luca"-noun-oc
"de Luca"-noun-oc "de Luca"-properNoun-fr
"de Luca"-noun-oc "de Luca"-noun-fr
"delle Piane"-properNoun-oc "delle Piane"-properNoun-fr
"delle Piane"-properNoun-oc "delle Piane"-noun-fr
"delle Piane"-properNoun-fr "delle Piane"-properNoun-oc
"delle Piane"-properNoun-fr "delle Piane"-noun-oc
"delle Piane"-noun-fr "delle Piane"-properNoun-oc
"delle Piane"-noun-fr "delle Piane"-noun-oc
"delle Piane"-noun-oc "delle Piane"-properNoun-fr
"delle Piane"-noun-oc "delle Piane"-noun-fr
"Cambrian"-noun-oc "cambrien"-noun-fr
"cambrien"-noun-fr "Cambrian"-noun-oc
"Precambrian"-noun-oc "précambrien"-noun-fr
"précambrien"-noun-fr "Precambrian"-noun-oc
"Corèas"-properNoun-oc "Corées"-properNoun-fr
"Corées"-properNoun-fr "Corèas"-properNoun-oc
"En marcha"-properNoun-oc "En marche"-properNoun-fr
"En marche"-properNoun-fr "En marcha"-properNoun-oc
"Loïsa"-properNoun-oc "Loïsa"-properNoun-fr
"Loïsa"-properNoun-fr "Loïsa"-properNoun-oc
"Domenja"-properNoun-oc "Domenja"-properNoun-fr
"Domenja"-properNoun-fr "Domenja"-properNoun-oc
"Domerga"-properNoun-oc "Domerga"-properNoun-fr
"Domerga"-properNoun-fr "Domerga"-properNoun-oc
"Isabèla"-properNoun-oc "Isabèla"-properNoun-fr
"Isabèla"-properNoun-fr "Isabèla"-properNoun-oc
"Elisabèt"-properNoun-oc "Elisabèt"-properNoun-fr
"Elisabèt"-properNoun-fr "Elisabèt"-properNoun-oc
"Ròsa"-properNoun-oc "Ròsa"-properNoun-fr
"Ròsa"-properNoun-fr "Ròsa"-properNoun-oc
"Francesa"-properNoun-oc "Francesa"-properNoun-fr
"Francesa"-properNoun-fr "Francesa"-properNoun-oc
"Clara"-properNoun-oc "Claira"-properNoun-fr
"Claira"-properNoun-fr "Clara"-properNoun-oc
"Nicòla"-properNoun-oc "Nicòla"-properNoun-fr
"Nicòla"-properNoun-fr "Nicòla"-properNoun-oc
"Miquèla"-properNoun-oc "Miquèla"-properNoun-fr
"Miquèla"-properNoun-fr "Miquèla"-properNoun-oc
"Beatritz"-properNoun-oc "Beatritz"-properNoun-fr
"Beatritz"-properNoun-fr "Beatritz"-properNoun-oc
"Brigita"-properNoun-oc "Brigita"-properNoun-fr
"Brigita"-properNoun-fr "Brigita"-properNoun-oc
"Gabrièla"-properNoun-oc "Gabrièla"-properNoun-fr
"Gabrièla"-properNoun-fr "Gabrièla"-properNoun-oc
"Raquèl"-properNoun-oc "Raquèl"-properNoun-fr
"Raquèl"-properNoun-fr "Raquèl"-properNoun-oc
"Caròla"-properNoun-oc "Caròla"-properNoun-fr
"Caròla"-properNoun-fr "Caròla"-properNoun-oc
"Dorotèa"-properNoun-oc "Dorotèa"-properNoun-fr
"Dorotèa"-properNoun-fr "Dorotèa"-properNoun-oc
"Laurença"-properNoun-oc "Laurença"-properNoun-fr
"Laurença"-properNoun-fr "Laurença"-properNoun-oc
"Ana Maria"-properNoun-oc "Ana Maria"-properNoun-fr
"Ana Maria"-properNoun-fr "Ana Maria"-properNoun-oc
"Asalaïs"-properNoun-oc "Asalaïs"-properNoun-fr
"Asalaïs"-properNoun-fr "Asalaïs"-properNoun-oc
"Mirèlha"-properNoun-oc "Mirèlha"-properNoun-fr
"Mirèlha"-properNoun-fr "Mirèlha"-properNoun-oc
"Maria Terèsa"-properNoun-oc "Maria Terèsa"-properNoun-fr
"Maria Terèsa"-properNoun-fr "Maria Terèsa"-properNoun-oc
"Iveta"-properNoun-oc "Iveta"-properNoun-fr
"Iveta"-properNoun-fr "Iveta"-properNoun-oc
"Èva"-properNoun-oc "Èva"-properNoun-fr
"Èva"-properNoun-fr "Èva"-properNoun-oc
"Marcèla"-properNoun-oc "Marcèla"-properNoun-fr
"Marcèla"-properNoun-fr "Marcèla"-properNoun-oc
"Edit"-properNoun-oc "Edit"-properNoun-fr
"Edit"-properNoun-fr "Edit"-properNoun-oc
"Bèrta"-properNoun-oc "Bèrta"-properNoun-fr
"Bèrta"-properNoun-fr "Bèrta"-properNoun-oc
"Bernadeta"-properNoun-oc "Bernadeta"-properNoun-fr
"Bernadeta"-properNoun-fr "Bernadeta"-properNoun-oc
"Adèla"-properNoun-oc "Adèla"-properNoun-fr
"Adèla"-properNoun-fr "Adèla"-properNoun-oc
"Auròra"-properNoun-oc "Auròra"-properNoun-fr
"Auròra"-properNoun-fr "Auròra"-properNoun-oc
"Pascala"-properNoun-oc "Pascala"-properNoun-fr
"Pascala"-properNoun-fr "Pascala"-properNoun-oc
"Gertruda"-properNoun-oc "Gertruda"-properNoun-fr
"Gertruda"-properNoun-fr "Gertruda"-properNoun-oc
"Clamença"-properNoun-oc "Clamença"-properNoun-fr
"Clamença"-properNoun-fr "Clamença"-properNoun-oc
"Claudina"-properNoun-oc "Claudina"-properNoun-fr
"Claudina"-properNoun-fr "Claudina"-properNoun-oc
"Murièl"-properNoun-oc "Murièl"-properNoun-fr
"Murièl"-properNoun-fr "Murièl"-properNoun-oc
"Jòrdi"-properNoun-oc "Jòrdi"-properNoun-fr
"Jòrdi"-properNoun-fr "Jòrdi"-properNoun-oc
"Andrieu"-properNoun-oc "Andrieu"-properNoun-fr
"Andrieu"-properNoun-fr "Andrieu"-properNoun-oc
"Miquèl"-properNoun-oc "Miquèl"-properNoun-fr
"Miquèl"-properNoun-fr "Miquèl"-properNoun-oc
"Dàvid"-properNoun-oc "Dàvid"-properNoun-fr
"Dàvid"-properNoun-fr "Dàvid"-properNoun-oc
"Guilhèm"-properNoun-oc "Guilhèm"-properNoun-fr
"Guilhèm"-properNoun-fr "Guilhèm"-properNoun-oc
"Albèrt"-properNoun-oc "Albèrt"-properNoun-fr
"Albèrt"-properNoun-fr "Albèrt"-properNoun-oc
"Reinat"-properNoun-oc "Reinat"-properNoun-fr
"Reinat"-properNoun-fr "Reinat"-properNoun-oc
"Rogièr"-properNoun-oc "Rogièr"-properNoun-fr
"Rogièr"-properNoun-fr "Rogièr"-properNoun-oc
"Danièl"-properNoun-oc "Danièl"-properNoun-fr
"Danièl"-properNoun-fr "Danièl"-properNoun-oc
"Edoard"-properNoun-oc "Edoard"-properNoun-fr
"Edoard"-properNoun-fr "Edoard"-properNoun-oc
"Ramond"-properNoun-oc "Ramond"-properNoun-fr
"Ramond"-properNoun-fr "Ramond"-properNoun-oc
"Gabrièl"-properNoun-fr "Gabrièl"-properNoun-oc
"Gabrièl"-properNoun-oc "Gabrièl"-properNoun-fr
"Laurenç"-properNoun-oc "Laurenç"-properNoun-fr
"Laurenç"-properNoun-fr "Laurenç"-properNoun-oc
"Olivièr"-properNoun-oc "Olivièr"-properNoun-fr
"Olivièr"-properNoun-fr "Olivièr"-properNoun-oc
"Eugèni"-properNoun-oc "Eugèni"-properNoun-fr
"Eugèni"-properNoun-fr "Eugèni"-properNoun-oc
"Joan Pèire"-properNoun-oc "Joan Pèire"-properNoun-fr
"Joan Pèire"-properNoun-fr "Joan Pèire"-properNoun-oc
"Rotland"-properNoun-oc "Rotland"-properNoun-fr
"Rotland"-properNoun-fr "Rotland"-properNoun-oc
"Gèli"-properNoun-oc "Gèli"-properNoun-fr
"Gèli"-properNoun-fr "Gèli"-properNoun-oc
"Samuèl"-properNoun-oc "Samuèl"-properNoun-fr
"Samuèl"-properNoun-fr "Samuèl"-properNoun-oc
"Cristòl"-properNoun-oc "Cristòl"-properNoun-fr
"Cristòl"-properNoun-fr "Cristòl"-properNoun-oc
"Emanuèl"-properNoun-oc "Emanuèl"-properNoun-fr
"Emanuèl"-properNoun-fr "Emanuèl"-properNoun-oc
"Domenge"-properNoun-oc "Domenge"-properNoun-fr
"Domenge"-properNoun-fr "Domenge"-properNoun-oc
"Xavièr"-properNoun-oc "Xavièr"-properNoun-fr
"Xavièr"-properNoun-fr "Xavièr"-properNoun-oc
"Sèrgi"-properNoun-oc "Sèrgi"-properNoun-fr
"Sèrgi"-properNoun-fr "Sèrgi"-properNoun-oc
"Terric"-properNoun-oc "Terric"-properNoun-fr
"Terric"-properNoun-fr "Terric"-properNoun-oc
"Gilbèrt"-properNoun-oc "Gilbèrt"-properNoun-fr
"Gilbèrt"-properNoun-fr "Gilbèrt"-properNoun-oc
"Deidièr"-properNoun-oc "Deidièr"-properNoun-fr
"Deidièr"-properNoun-fr "Deidièr"-properNoun-oc
"Clamenç"-properNoun-oc "Clamenç"-properNoun-fr
"Clamenç"-properNoun-fr "Clamenç"-properNoun-oc
"Gustau"-properNoun-oc "Gustau"-properNoun-fr
"Gustau"-properNoun-fr "Gustau"-properNoun-oc
"Gregòri"-properNoun-oc "Gregòri"-properNoun-fr
"Gregòri"-properNoun-fr "Gregòri"-properNoun-oc
"Joan Francés"-properNoun-oc "Joan Francés"-properNoun-fr
"Joan Francés"-properNoun-fr "Joan Francés"-properNoun-oc
"Ug"-properNoun-oc "Ug"-properNoun-fr
"Ug"-properNoun-fr "Ug"-properNoun-oc
"Matieu"-properNoun-oc "Matieu"-properNoun-fr
"Matieu"-properNoun-fr "Matieu"-properNoun-oc
"Matiu"-properNoun-oc "Matiu"-properNoun-fr
"Matiu"-properNoun-fr "Matiu"-properNoun-oc
"Benesech"-properNoun-oc "Benesech"-properNoun-fr
"Benesech"-properNoun-fr "Benesech"-properNoun-oc
"Beneset"-properNoun-oc "Beneset"-properNoun-fr
"Beneset"-properNoun-fr "Beneset"-properNoun-oc
"Anfós"-properNoun-oc "Anfós"-properNoun-fr
"Anfós"-properNoun-fr "Anfós"-properNoun-oc
"Danís"-properNoun-oc "Danís"-properNoun-fr
"Danís"-properNoun-fr "Danís"-properNoun-oc
"Paire Nadal"-properNoun-oc "Père Noël"-properNoun-fr
"Père Noël"-properNoun-fr "Paire Nadal"-properNoun-oc
"Arvèi"-properNoun-oc "Arvèi"-properNoun-fr
"Arvèi"-properNoun-fr "Arvèi"-properNoun-oc
"Patrici"-properNoun-oc "Patrici"-properNoun-fr
"Patrici"-properNoun-fr "Patrici"-properNoun-oc
"Lionèl"-properNoun-oc "Lionèl"-properNoun-fr
"Lionèl"-properNoun-fr "Lionèl"-properNoun-oc
"Aimat"-properNoun-oc "Aimat"-properNoun-fr
"Aimat"-properNoun-fr "Aimat"-properNoun-oc
"Joan Marc"-properNoun-oc "Joan Marc"-properNoun-fr
"Joan Marc"-properNoun-fr "Joan Marc"-properNoun-oc
"Isidore"-properNoun-oc "Isidore"-properNoun-fr
"Isidore"-properNoun-fr "Isidore"-properNoun-oc
"Isidore"-properNoun-fr "Isidòr"-properNoun-oc
"Isidòr"-properNoun-oc "Isidore"-properNoun-fr
"Oraci"-properNoun-oc "Oraci"-properNoun-fr
"Oraci"-properNoun-fr "Oraci"-properNoun-oc
"Desirat"-properNoun-oc "Desirat"-properNoun-fr
"Desirat"-properNoun-fr "Desirat"-properNoun-oc
"Emanuèla"-properNoun-oc "Emanuèla"-properNoun-fr
"Emanuèla"-properNoun-fr "Emanuèla"-properNoun-oc
"Ambròsi"-properNoun-oc "Ambròsi"-properNoun-fr
"Ambròsi"-properNoun-fr "Ambròsi"-properNoun-oc
"Rafaèl"-properNoun-oc "Rafaèl"-properNoun-fr
"Rafaèl"-properNoun-fr "Rafaèl"-properNoun-oc
"infidèl"-noun-oc "infidèle"-noun-fr
"infidèle"-noun-fr "infidèl"-noun-oc
"infidèle"-noun-fr "infidèu"-noun-oc
"infidèu"-noun-oc "infidèle"-noun-fr
